file name,file size,number of words,% negative,% positive,% uncertainty,% litigious,% strong modal,% weak modal,% constraining,# of alphabetic,# of digits,# of numbers,avg # of syllables per word,average word length,vocabulary
./data\26.txt,13156,2022,1.7804154302670623,1.582591493570722,0.8902077151335311,0.19782393669634024,1.1374876360039565,0.44510385756676557,0.09891196834817012,527.1513353115728,42,14,1.698813056379822,5.023738872403561,722
./data\27.txt,12421,1860,2.0967741935483875,0.967741935483871,1.0752688172043012,0.3225806451612903,0.6989247311827957,0.5376344086021506,0.3225806451612903,539.6774193548387,16,5,1.6865591397849462,5.065591397849462,614
./data\28.txt,8000,1188,1.936026936026936,1.936026936026936,1.3468013468013467,0.08417508417508417,0.08417508417508417,0.16835016835016833,0.25252525252525254,559.4276094276095,3,1,1.8282828282828283,5.527777777777778,494
./data\29.txt,7492,1127,1.774622892635315,1.5084294587400178,1.1535048802129548,0.0,1.5084294587400178,0.5323868677905945,0.0,533.1854480922804,69,19,1.7027506654835847,5.110913930789708,485
./data\3.txt,11848,1740,1.3218390804597702,2.0114942528735633,0.8045977011494253,0.05747126436781609,0.5747126436781609,0.40229885057471265,0.11494252873563218,561.4367816091954,5,2,1.7775862068965518,5.416091954022988,746
./data\30.txt,9869,1619,1.1117974058060531,1.6676961087090798,1.3588634959851762,0.3705991352686844,1.4823965410747375,0.3088326127239036,0.3705991352686844,495.05867819641753,13,5,1.6071649166151947,4.869672637430512,552
./data\31.txt,10065,1493,1.0716677829872738,2.0763563295378433,0.6697923643670463,0.13395847287340923,2.0093770931011385,0.46885465505693236,0.20093770931011384,543.4695244474212,108,32,1.7354320160750167,5.219691895512391,627
./data\32.txt,3325,479,0.41753653444676403,2.9227557411273484,0.6263048016701461,0.0,0.6263048016701461,0.6263048016701461,0.20876826722338201,573.4864300626305,0,0,1.812108559498956,5.559498956158664,240
./data\33.txt,10653,1744,1.7775229357798166,2.293577981651376,1.0321100917431194,0.22935779816513763,0.6880733944954129,0.17201834862385323,0.34403669724770647,498.5665137614679,44,17,1.6181192660550459,4.876720183486238,646
./data\34.txt,4688,724,0.0,1.3812154696132597,0.5524861878453038,0.0,1.2430939226519337,0.4143646408839779,0.0,527.7624309392265,3,1,1.7113259668508287,5.149171270718232,315
./data\35.txt,4652,672,0.4464285714285714,1.0416666666666665,1.1904761904761905,0.0,0.2976190476190476,0.744047619047619,0.0,568.75,16,5,1.8735119047619047,5.605654761904762,319
./data\36.txt,1193,184,1.0869565217391304,0.0,1.0869565217391304,0.5434782608695652,0.0,0.5434782608695652,0.0,529.8913043478261,6,3,1.809782608695652,5.282608695652174,110
./data\37.txt,6413,983,3.560528992878942,1.7293997965412005,0.9155645981688708,0.3051881993896236,0.508646998982706,0.508646998982706,0.40691759918616477,532.3499491353001,16,5,1.6988809766022381,5.198372329603255,485
